"X0","X1","X2"
1.7891210746667392e+00,8.6457770532333367e-01,1.9832971621616187e+00
4.4907064365486882e-01,-2.7870962839147788e+00,8.7830348343370979e-01
-1.7947725359114450e+00,1.0563471550136141e+00,-1.5870761609383757e+00
1.0313666895072773e+00,-9.5518405714787313e-03,1.0318212901226458e+00
-2.1694316840608181e+00,-2.8687893850099924e+00,7.9179013648559504e-01
-1.8602333101752624e+00,-2.0003309222131214e+00,1.2539676428450743e+00
1.2646893093714375e+00,2.0954487380012177e+00,2.9934636702365038e+00
-1.4500647160565556e+00,2.9848190022702150e+00,-5.7824462061228887e-01
8.3155663722785622e-01,-1.0863776442298523e-02,-8.8284005441973967e-01
1.8067003711745677e+00,1.2064527322215897e+00,1.7894082297716798e+00
2.1139048242395893e+00,-1.9023259466614286e+00,2.3161183895012494e-01
-1.5286346951633603e+00,-1.3401159514831602e+00,-1.4392020494943061e+00
-1.9768678028513968e+00,-2.3625609902887974e+00,1.0254260568924369e+00
1.4106720534439861e+00,1.9357239710188034e+00,-2.5712517810403654e+00
-2.9262369572034590e+00,4.4365640042813581e-01,-1.2346498551886416e+00
-3.1035242132452412e-01,2.5240232908484446e+00,7.7949843094913218e-01
3.0602329971724007e+00,1.3340176266923942e+00,-1.8372799130438642e+00
6.8614048133549810e-01,2.7171173149662406e+00,2.3745427949442908e+00
-2.6444286123528116e-01,6.5214438199712843e-01,-1.8965378733094216e+00
-2.1908434146717681e-01,7.9386136393541751e-01,3.0404558530399610e+00
8.0585149277151391e-01,-3.0396078886863824e+00,-1.7160492574244630e+00
2.4076385991268667e-01,1.8713034699051088e+00,-1.7049145117326026e+00
-2.9252439962332053e+00,-2.0856916101202887e+00,-1.4136528013536644e+00
-1.7584636694588289e+00,1.1510071118781040e-01,-2.9468507888103215e+00
-8.3952345856172794e-01,5.9546044644490959e-01,1.8252874519714668e+00
-1.2374900620886926e+00,2.8768656871253109e+00,-2.4133285238965385e+00
-1.0912412280607562e+00,1.2849099801589468e+00,2.8165787669422730e+00
-1.8863684898271009e+00,-9.8840006148404758e-01,7.4379809611468950e-02
2.2695519258023777e+00,1.5646360057067676e-01,-1.5225570790750442e+00
-2.4699544347201763e+00,-2.1256568045901219e+00,-2.3620598929063941e+00
-1.2549098064400077e-02,1.5388994064807351e+00,1.1651216243362317e+00
5.8994686398788954e-01,1.2300497512610908e-01,1.8844354888913601e+00
-2.8448109239483754e-01,-1.7790590023836268e+00,2.5889200216105515e+00
4.9919241697978434e-01,1.2781315805053568e+00,-7.6430204550593928e-01
1.5676248078558750e+00,-1.8586310205709229e+00,-2.3698759780985914e+00
-3.0373970660133569e+00,-1.6420033408258710e+00,-2.8843357718865850e+00
-3.0596574629738886e+00,-1.6093042119352485e+00,9.9182640589059190e-01
-9.0379963773729610e-01,-5.8528854376748551e-01,-2.9964426347925581e+00
1.0508561075246341e+00,1.8090861078693310e+00,1.4807744977182740e+00
-1.4974154883420432e+00,1.3218953290643194e+00,-1.4549439733627303e+00
-1.3735904672602228e+00,-1.8181222352190942e+00,-1.2814212425841909e-02
-1.9062021204872512e+00,-7.7139906586261864e-01,-6.9040917403048141e-01
-9.0882848590090903e-01,-2.1945712466165475e+00,-7.4394883834603753e-01
-1.2368892002270750e+00,1.0582710400357334e+00,2.7112177832099285e+00
-1.5002644794871323e+00,-1.6151648218460533e+00,-1.1111909233667081e+00
9.4663813410166497e-01,-2.3948610762994189e+00,-2.5681718408037080e+00
1.4778831082505466e+00,-1.9382370128107596e-01,-1.2185415939688724e+00
1.2933159175137385e+00,2.6897243160130655e+00,4.9791494593740193e-01
2.2485417791619096e+00,6.7568763443220270e-01,1.0214730772140461e+00
-2.0160286513263737e+00,-2.5791390619750221e+00,-1.9378568854031286e-01
-1.8837341670166752e+00,-2.9778623206826418e+00,1.0821666346008119e+00
1.1193288549900480e+00,2.0333720578180072e+00,2.7046500056243445e+00
-1.5379690859352666e+00,-3.0157425535152584e+00,2.4660816395065934e+00
-2.9375794413677236e+00,-1.7086760815364892e+00,1.6749129309370989e+00
